video_genres,video_level,video_title,video_url,video_year,release_date
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Inside Voices,https://www.imdb.com/title/tt7183120/,,6 April 2018
Action Drama Mystery Episode aired ,"TV-14
                        
    
, 
,",Kirkman Agonistes,https://www.imdb.com/title/tt7641608/,,18 April 2018
Drama Mystery TV Series ,"TV-14
                        
    
,",House,https://www.imdb.com/title/tt0412142/,,2004–2012)
Comedy Episode aired ,,"Lies, Lies, Lies, Yeah-ah",https://www.imdb.com/title/tt1314079/,,21 October 2008
Comedy Talk-Show Episode aired ,",",Robert Blake/Jim Carrey/Bud Greenspan,https://www.imdb.com/title/tt6267038/,,24 November 1983
Reality-T VT V Series ,TV-14,The Real Housewives of New York City,https://www.imdb.com/title/tt1191056/,,2008– )
Comedy Drama Family TV Series ,"TV-G
                        
    
, 
,",Family Matters,https://www.imdb.com/title/tt0096579/,,1989–1998)
Horror Sci-Fi,"R
                        
    
,",Alien,https://www.imdb.com/title/tt0078748/,1979,22 June 1979 U SA)
News TV Special ,,The 25th Annual Academy Awards,https://www.imdb.com/title/tt0337799/,1953,19 March 1953
Documentary Animation Comedy Episode aired ,"TV-MA
                        
    
, 
,",Robot Monster,https://www.imdb.com/title/tt6167886/,,1 May 2015
Biography Comedy Drama,"R
                        
    
, 
,",Vice,https://www.imdb.com/title/tt6266538/,2018,25 December 2018 U SA)
Talk-Show Episode aired ,,Rob Brydon,https://www.imdb.com/title/tt2071848/,,4 October 2011
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.5,https://www.imdb.com/title/tt8416912/,,2019
Music TV Series ,,Whistle Test,https://www.imdb.com/title/tt0259795/,,1971–2018)
Talk-Show Episode aired ,,Episode dated 19 June 2006,https://www.imdb.com/title/tt0820725/,,19 June 2006
Comedy Episode aired ,TV-14,Live from Studio 6H,https://www.imdb.com/title/tt2336547/,,26 April 2012
Adult Fantasy Sci-Fi Video ,"X
                        
    
, 
,",Batgirl XXX: An Extreme Comixxx Parody,https://www.imdb.com/title/tt2511450/,2012,4 September 2012
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Rise and Shine,https://www.imdb.com/title/tt7183116/,,30 March 2018
Action Crime Drama,"R
                        
    
, 
,",No Way Out,https://www.imdb.com/title/tt0093640/,1987,14 August 1987 U SA)
T V Special ,,2011 Primetime Creative Arts Emmy Awards,https://www.imdb.com/title/tt2060474/,2011,17 September 2011
Comedy Episode aired ,,Pilot,https://www.imdb.com/title/tt1314975/,,20 October 2008
Crime Drama TV Series ,"TV-PG
                        
    
,",Baretta,https://www.imdb.com/title/tt0072471/,,1975–1978)
Reality-T VEpisode aired ,TV-14,Reunion: Watch What Happens - Part 1,https://www.imdb.com/title/tt1443430/,,12 May 2009
Comedy Music Episode aired ,",",Talent,https://www.imdb.com/title/tt3084818/,,1993
Documentary Short Video ,",",Cronenberg Interview: Shivers,https://www.imdb.com/title/tt0404894/,1998,30 September 1998
Comedy Music TV Special ,"TV-14
                        
    
,",The Oscars,https://www.imdb.com/title/tt5850440/,2017,26 February 2017
Action Sci-Fi Thriller,"PG-13
                        
    
, 
,",Lawnmower Man 2: Beyond Cyberspace,https://www.imdb.com/title/tt0116839/,1996,12 January 1996 U SA)
Talk-Show Episode aired ,,Robert Winston,https://www.imdb.com/title/tt1172383/,,15 January 2006
Comedy Sci-Fi Episode aired ,",",Why Are We Here?,https://www.imdb.com/title/tt1235456/,,2 November 1981
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.6,https://www.imdb.com/title/tt8416914/,,2019
Drama TV Series ,TV-14,Footballers' Wives,https://www.imdb.com/title/tt0302103/,,2002–2006)
Comedy Episode aired ,TV-14,Queen of Jordan 2: The Mystery of the Phantom Pooper,https://www.imdb.com/title/tt2361603/,,3 May 2012
Comedy Episode aired ,TV-14,Murphy Brown Lied to Us,https://www.imdb.com/title/tt2336545/,,19 April 2012
Drama Sport,"PG
                        
    
,",Rocky IV,https://www.imdb.com/title/tt0089927/,1985,27 November 1985 U SA)
Talk-Show TV Series ,TV-14,The View,https://www.imdb.com/title/tt0123366/,,1997– )
Action Crime Drama,"R
                        
    
, 
,",No Way Out,https://www.imdb.com/title/tt0069013/,1973,23 August 1973 France)
News TV Special ,,The 63rd Primetime Emmy Awards,https://www.imdb.com/title/tt2056718/,2011,18 September 2011
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The Devil Complex,https://www.imdb.com/title/tt7183112/,,23 March 2018
Comedy Drama TV Movie ,"TV-14
                        
    
,",Behind the Camera: The Unauthorized Story of Mork & Mindy,https://www.imdb.com/title/tt0437856/,2005,4 April 2005
Reality-T VEpisode aired ,TV-14,Reunion: Watch What Happens - Part 2,https://www.imdb.com/title/tt2183580/,,14 May 2009
Drama Horror Thriller,"R
                        
    
, 
,",Dead Ringers,https://www.imdb.com/title/tt0094964/,1988,23 September 1988 U SA)
Family TV Special ,,The 37th Annual Academy Awards,https://www.imdb.com/title/tt0350487/,1965,5 April 1965
Action Adventure Sci-Fi,"PG
                        
    
, 
,",TRON,https://www.imdb.com/title/tt0084827/,1982,9 July 1982 U SA)
Talk-Show Episode aired ,,Rolf Harris,https://www.imdb.com/title/tt1328804/,,23 November 2008
Comedy Sci-Fi Episode aired ,",",Absence Makes the Heart,https://www.imdb.com/title/tt1235457/,,9 November 1981
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.7,https://www.imdb.com/title/tt8416916/,,2019
Talk-Show Episode aired ,,Episode #13.201,https://www.imdb.com/title/tt1462257/,,24 June 2009
Documentary History Music TV Mini-Series ,", 
,",Jazz,https://www.imdb.com/title/tt0221300/,,2001)
Comedy Episode aired ,TV-14,Meet the Woggels!,https://www.imdb.com/title/tt2327679/,,12 April 2012
Comedy News Episode aired ,",",Episode #11.2,https://www.imdb.com/title/tt3458800/,,10 January 2014
Family Reality-T VT V Series ,"TV-PG
                        
    
,",Shark Tank,https://www.imdb.com/title/tt1442550/,,2009– )
Short Drama,",",No Way Out,https://www.imdb.com/title/tt2245340/,2009,8 October 2009 U SA)
T V Special ,,The 16th Annual Primetime Emmy Awards,https://www.imdb.com/title/tt1691010/,1964,25 May 1964
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",Principia,https://www.imdb.com/title/tt7183106/,,16 March 2018
News TV Series ,,Entertainment Tonight,https://www.imdb.com/title/tt0081857/,,1981– )
Action Adventure Crime TV Series ,"TV-PG
                        
    
, 
,",Charlie's Angels,https://www.imdb.com/title/tt0073972/,,1976–1981)
Reality-T VEpisode aired ,TV-14,The Lost Footage,https://www.imdb.com/title/tt2184828/,,28 May 2009
Documentary,,"Ginger Snaps: Blood, Teeth and Fur",https://www.imdb.com/title/tt3807112/,2014,22 July 2014 U SA)
Drama,Approved,The Oscar,https://www.imdb.com/title/tt0060801/,1966,8 July 1966 U K)
"Animation Short Action Video
",", 
,",Computer Warriors,https://www.imdb.com/title/tt0402935/,1990,
Talk-Show Episode aired ,,Russell T. Davies,https://www.imdb.com/title/tt1172384/,,16 January 2008
Comedy Sci-Fi Episode aired ,",",We Are Not Alone,https://www.imdb.com/title/tt1383772/,,16 November 1981
Action Adventure Drama Episode airs ,"TV-PG
                        
    
, 
,",Episode #6.8,https://www.imdb.com/title/tt8422650/,,2019
Talk-Show Episode aired ,,Episode #13.202,https://www.imdb.com/title/tt1462258/,,25 June 2009
Documentary History Music Episode aired ,"TV-PG
                        
    
, 
,",Gumbo: Beginnings to 1917,https://www.imdb.com/title/tt1067628/,,9 January 2001
Drama Romance Mystery TV Series ,"TV-PG
                        
    
, 
,",All My Children,https://www.imdb.com/title/tt0065272/,,1970–2011)
Comedy Reality-T VSport TV Series ,", 
,",Goalstar,https://www.imdb.com/title/tt2485550/,,2012– )
Action Drama Episode aired ,"TV-14
                        
    
,",Category 5,https://www.imdb.com/title/tt4649310/,,5 May 2015
Family TV Special ,,The 38th Annual Primetime Emmy Awards,https://www.imdb.com/title/tt1044990/,1986,21 September 1986
Family Reality-T VEpisode aired ,"TV-PG
                        
    
,",Episode #2.2,https://www.imdb.com/title/tt1868945/,,25 March 2011
Action Crime Thriller,"R
                        
    
, 
,",Cobra,https://www.imdb.com/title/tt0090859/,1986,23 May 1986 U SA)
Action Adventure Drama Episode aired ,"TV-14
                        
    
, 
,",The Real Deal,https://www.imdb.com/title/tt7183104/,,9 March 2018
Comedy Music Talk-Show Episode aired ,"TV-14
                        
    
, 
,","On This Day, a Chump Was Born",https://www.imdb.com/title/tt1893589/,,18 April 2011
Reality-T VEpisode aired ,TV-14,New Alliances,https://www.imdb.com/title/tt1604476/,,4 March 2010
